Senser01,Senser03,Senser02
1334,-4912,0
1335,-4912,0
1336,-4912,0
1337,-4912,0
1338,-4912,0
1339,-4912,0
1340,-4912,0
1341,-4912,0
1342,-4912,0
1343,-4912,0
1344,-4912,0
1345,-4912,0
1346,-4912,0
1347,-4912,0
1348,-4912,0
1349,-4912,0
1350,-4912,0
1351,-4912,0
1352,-4912,0
1353,-4912,0
1354,-4912,0
1355,-4912,0
1356,-4912,0
1357,-4912,0
1358,-4912,0
1359,-4912,0
1360,-4912,0
1361,-4912,0
1362,-4912,0
1363,-4912,0
1364,-4912,0
1365,-4912,0
1366,-4912,0
1367,-4912,0
1368,-4912,0
1369,-4912,0
1370,-4912,0
1371,-4912,0
1372,-4912,0
1373,-4912,0
1374,-4912,0
1375,-4912,0
1376,-4912,0
1377,-4912,0
1378,-4912,0
1379,-4912,0
1380,-4912,0
1381,-4912,0
1382,-4912,0
1383,-4912,0
1384,-4912,0
1385,-4912,0
1386,-4912,0
1387,-4912,0
1388,-4912,0
1389,-4912,0
1390,-4912,0
1391,-4912,0
1392,-4912,0
1393,-4912,0
1394,-4912,0
1395,-4912,0
1396,-4912,0
1397,-4912,0
1398,-4912,0
1399,-4912,0
1400,-4912,0
1401,-4912,0
1402,-4912,0
1403,-4912,0
1404,-4912,0
1405,-4912,0
1406,-4912,0
1407,-4912,0
1408,-4912,0
1409,-4912,0
1410,-4912,0
1411,-4912,0
1412,-4912,0
1413,-4912,0
1414,-4912,0
1415,-4912,0
1416,-4912,0
1417,-4912,0
1418,-4912,0
1419,-4912,0
1420,-4912,0
1421,-4912,0
1422,-4912,0
1423,-4912,0
1424,-4912,0
1425,-4912,0
1426,-4912,0
1427,-4912,0
1428,-4912,0
1429,-4912,0
1430,-4912,0
1431,-4912,0
1432,-4912,0
1433,-4912,0
1434,-4912,0
1435,-4912,0
1436,-4912,0
1437,-4912,0
1438,-4912,0
1439,-4912,0
1440,-4912,0
1441,-4912,0
1442,-4912,0
1443,-4912,0
1444,-4912,0
1445,-4912,0
1446,-4912,0
1447,-4912,0
1448,-4912,0
1449,-4912,0
1450,-4912,0
1451,-4912,0
1452,-4912,0
1453,-4912,0
1454,-4912,0
1455,-4912,0
1456,-4912,0
1457,-4912,0
1458,-4912,0
1459,-4912,0
1460,-4912,0
1461,-4912,0
1462,-4912,0
1463,-4912,0
1464,-4912,0
1465,-4912,0
1466,-4912,0
1467,-4912,0
1468,-4912,0
1469,-4912,0
1470,-4912,0
1471,-4912,0
1472,-4912,0
1473,-4912,0
1474,-4912,0
1475,-4912,0
1476,-4912,0
1477,-4912,0
1478,-4912,0
1479,-4912,0
1480,-4912,0
1481,-4912,0
1482,-4912,0
1483,-4912,0
1484,-4912,0
1485,-4912,0
1486,-4912,0
1487,-4912,0
1488,-4912,0
1489,-4912,0
1490,-4912,0
1491,-4912,0
1492,-4912,0
1493,-4912,0
1494,-4912,0
1495,-4912,0
1496,-4912,0
1497,-4912,0
1498,-4912,0
1499,-4912,0
1500,-4912,0
1501,-4912,0
1502,-4912,0
1503,-4912,0
1504,-4912,0
1505,-4912,0
1506,-4912,0
1507,-4912,0
1508,-4912,0
1509,-4912,0
1510,-4912,0
1511,-4912,0
1512,-4912,0
1513,-4912,0
1514,-4912,0
1515,-4912,0
1516,-4912,0
1517,-4912,0
